PID,ProductType,ProductName,Manufacturer,Part #,Color
12334,Memory,G.Skill Ares Series 16 GB (4 x 4 GB) DDR3-1600 CL8 Memory (F3-1600C8Q-16GAB),43,F3-1600C8Q-16GAB,17
12335,Memory,G.Skill Ares Series 16 GB (2 x 8 GB) DDR3-1333 CL9 Memory (F3-1333C9D-16GAO),43,F3-1333C9D-16GAO,10
12336,Memory,G.Skill Ares Series 32 GB (4 x 8 GB) DDR3-1333 CL9 Memory (F3-1333C9Q-32GAO),43,F3-1333C9Q-32GAO,10
12337,Memory,Crucial Ballistix Tactical Tracer 8 GB (2 x 4 GB) DDR3-1600 CL8 Memory (BLT2KIT4G3D1608DT2TXOB),42,BLT2KIT4G3D1608DT2TXOB,2
12338,Memory,"Patriot Gamer 2, Division 4 Edition 32 GB (4 x 8 GB) DDR3-1600 CL9 Memory (PGQ332G1600ELQK)",48,PGQ332G1600ELQK,17
12339,Memory,G.Skill Ripjaws Z Series 32 GB (4 x 8 GB) DDR3-2133 CL11 Memory (F3-17000CL11Q-32GBZLD),43,F3-17000CL11Q-32GBZLD,8
12340,Memory,Kingston HyperX 8 GB (4 x 2 GB) DDR3-1866 CL9 Memory (KHX1866C9D3K4/8GX),46,KHX1866C9D3K4/8GX,32
12341,Memory,Crucial Ballistix Elite 16 GB (2 x 8 GB) DDR3-1866 CL9 Memory (BLE2KIT8G3D1869DE1TX0),42,BLE2KIT8G3D1869DE1TX0,2
12342,Memory,PNY 8 GB (2 x 4 GB) DDR3-1866 CL9 Memory (MD8192KD3-1866-X9),17,MD8192KD3-1866-X9,
12343,Memory,PNY 16 GB (4 x 4 GB) DDR3-1600 CL9 Memory (MD16384K4D3-1600-X9),17,MD16384K4D3-1600-X9,
12344,Memory,G.Skill Ripjaws X Series 32 GB (4 x 8 GB) DDR3-2133 CL9 Memory (F3-2133C9Q-32GXH),43,F3-2133C9Q-32GXH,17
12345,Memory,Corsair Vengeance 16 GB (2 x 8 GB) DDR3-1866 CL9 Memory (CMZ16GX3M2A1866C9),29,CMZ16GX3M2A1866C9,2
12346,Memory,GeIL EVO CORSA Series 32 GB (4 x 8 GB) DDR3-2400 CL11 Memory (GOC332GB2400C11AQC),55,GOC332GB2400C11AQC,
12347,Memory,Crucial Ballistix 8 GB (4 x 2 GB) DDR3-1600 CL9 Memory (BLS4KIT2G3D1609DS1S00),42,BLS4KIT2G3D1609DS1S00,
