PID,Form Factor,Efficiency Rating,Wattage,Length,Modular,Type,Fanless,ATX Connectors,EPS Connectors,PCIe 12-Pin Connectors,PCIe 8-Pin Connectors,PCIe 6+2-Pin Connectors,PCIe 6-Pin Connectors,SATA Connectors,Molex 4-Pin Connectors,Output,Efficiency
23722,7,0,800,165,1,16,N,0,2,0,0,4,0,12,4,"+3.3V@24A, +5V@24A, +12V@65A, -12V@0.3A, +5VSB@2.5A",92%
23723,7,0,1050,180,0,16,N,1,1,0,0,6,0,12,8,,
23724,7,,500,140,2,17,N,1,0,0,0,0,1,4,6,"+3.3V@30A, +5V@45A, +12V1@18A, +12V2@16A, -12V@1A, +5VSB@2.5A",
23725,7,0,450,169,1,16,N,0,1,0,0,2,0,6,5,"+3.3V@20A,+5V@20A,+12V@37A,-12V@0.5A,+5VSB@3A",87-92%
23726,7,,450,145,2,17,N,1,0,0,0,0,2,2,5,"+3.3V@21A, +5V@26A, +12V1@16A, +12V2@17A, -12V@0.6A, +5VSB@2.0A",> 70%
23727,7,0,500,160,1,16,N,0,1,0,0,2,0,5,4,"+3.3V@20A,+5V@20A,+12V@41.5A,-12V@0.5A,+5VSB@2.5A","> 90%, Up to 92%"
23728,7,4,700,139,2,16,N,1,0,0,0,1,1,0,0,"+3.3V@36A, +5V@30A, +12V1@18A, +12V2@18A, +12V3@18A, +12V4@18A, -12V@0.8A, +5VSB@3.0A",80-85%
23729,12,1,300,175,2,21,N,1,0,0,0,0,0,2,2,"20.0A @ +3.3V, 22.0A @ +5V, 14.0A @ +12V1, 16.0A @ +12V2, 0.5A @ -12V, 2.0A @ +5Vsb",> 85%
23730,7,1,550,,2,17,N,0,1,0,0,1,1,5,4,"+3.3V@25A, +5V@25A, +12V1@19A, +12V2@19A, -12V@0.8A, +5VSB@3A",82-88%
23731,7,4,500,160,2,16,N,0,1,0,0,2,0,6,6,"+3.3V@25A, +5V@25A, +12V@39A, -12V@0.8A, +5VSB@3A",< 80%
23732,7,,1000,165,1,16,N,1,1,0,0,2,1,4,3,"+3.3V@30A, +5V@30A, +12V1@19A, +12V2@19A, +12V3@19A, +12V4@19A, +12V5@19A, +12V6@19A, -12V@1A, +5VSB@3A",
23733,7,0,850,170,0,14,N,0,2,0,0,6,0,10,5,,
23734,7,,600,150,2,17,N,0,1,0,0,0,2,4,4,,
23735,7,4,1200,,1,16,N,0,2,0,0,3,3,12,3,"+3.3V@30A,+5V@30A,+12V1@20A,+12V2@20A,+12V3@20A,+12V4@20A,<br/>+12V5@20A,+12V6@20A (combine 84A),-12V@0.8A, +5VSB@6.0A",
23736,7,0,550,160,1,14,N,0,1,0,0,1,0,6,6,,
23737,7,1,1000,169,1,16,N,0,1,0,0,2,2,8,5,"+3.3V@24A, +5V@24A, +12V@81.5A, -12V@0.5A, +5VSB@3A",> 80%
23738,7,,500,140,2,14,N,1,0,0,0,0,0,3,3,,
23739,7,,500,140,2,14,N,1,1,0,0,0,1,2,5,,
23740,7,1,850,165,0,16,N,0,2,0,0,6,0,8,8,"+3.3V@24A, +5V@30A, +12V1@34A, +12V2@34A, +12V3@34A, +12V4@34A, -12V@0.5A, +5VSB@3.0A",< 85%
23741,7,2,1050,180,0,16,N,0,2,0,0,8,0,12,8,,
23742,7,1,1200,165,1,16,N,0,2,0,0,6,0,10,6,"+3.3V@20A,+5V@20A,+12V@100A,-12V@0.5A,+5VSB@3A",> 85%
23743,7,0,1375,199,1,16,N,0,2,0,2,6,0,16,8,"+3.3V@25A, +5V@25A, +12V1@50A, +12V2@70A, -12V@0.8A, +5VSB@4A",> 85%
23744,7,5,850,,0,16,N,0,2,0,0,4,0,4,3,"+3.3V@24A, +5V@30A (+3.3V ; +5V = 150W max.), +12V@70A, -12V@0.8A, +5VSB@3A",88%
23745,7,0,700,160,1,16,N,0,1,0,0,4,0,9,3,"+3.3V@24A, +5V@24A, +12V1@25A, +12V2@25A, +12V3@25A, +12V4@25A, -12V@0.3A, +5VSB@3A",20% Load >87% / 50%Load >90% / 100%Load >87%
23746,7,1,750,,2,16,N,1,1,0,0,2,2,6,6,"+3.3V@30A, +5V@28A, +12V1@18A, +12V2@18A, +12V3@18A, +12V4@18A, -12V@0.8A, +5VSB@3.0A",
23747,7,0,650,160,1,16,N,0,1,0,0,4,0,6,4,"+3.3V@20A, +5V@20A, +12V@54A, -12V@0.8A, +5VSB@3A",
23748,7,0,650,160,1,16,N,0,1,0,0,4,0,6,4,"+3.3V@20A, +5V@20A, +12V@54A, -12V@0.8A, +5VSB@3A",
23749,7,0,850,160,1,16,N,0,1,0,0,4,0,9,6,"+3.3V@20A, +5V@20A, +12V@70A, -12V@0.8A, +5VSB@3A",
23750,7,,400,140,2,17,N,1,1,0,0,0,1,4,2,"+3.3V@20A, +5V@14A, +12V1@14A, +12V2@13A, -12V@0.3A, +5VSB@2.5A",
23751,7,2,1000,190,0,16,N,0,2,0,0,8,0,13,6,"+3.3v@25A, +5V@25A, +12V@83A, -12V@0.8A, +5VSB@3.0A",92%
23752,7,,600,139,2,16,N,0,1,0,0,1,1,6,4,,> 75%
23753,7,1,850,159,1,17,N,0,2,0,0,6,0,10,4,"+3.3V@28A, +5V@30A, +12V1@20A, +12V2@20A, +12V3@30A, +12V4@30A, -12V@0.8A, +5VSB@3.0A",up to 88%
23754,7,,800,150,2,16,N,1,1,0,2,0,4,6,6,"+3.3V@28A, +5V@30A, +12V@66A, -12V@0.5A, +5VSB@4.0A",> 80%
23755,7,,500,139,2,17,N,1,0,0,0,0,0,2,4,"+3.3V@24A, +5V@24A, +12V1@20A, +12V2@20A, -12V@0.5A, +5Vsb@2.5A",
23756,7,1,650,140,2,16,N,0,1,0,0,4,0,8,5,"+3.3V@28A, +5V@28A, +12V@50A, -12V@0.5A, +5VSB@3.5A",
23757,7,1,750,140,2,16,N,0,1,0,0,4,0,12,5,"+3.3V@30A, +5V@30A, +12V@60A, -12V@0.5A, +5VSB@3.5A",
23758,7,5,1200,200,0,16,N,0,2,0,0,4,4,11,9,,> 85%
23759,7,,500,170,2,17,N,1,0,0,0,0,0,2,8,"+3.3V@28A, +5V@30A, +12V@34A, -5V@0.3A, -12V@0.8A, +5VSB@2A",> 70%
23760,7,2,1050,180,0,16,N,0,2,0,0,8,0,12,8,"+3.3V@25A, +5V@22A, +12V@87A, -12V@0.3A, +5VSB@3.0A",
23761,7,,500,170,2,14,N,1,0,0,0,0,0,2,8,"+3.3V@28A, +5V@30A, +12V1@16A, +12V2@18A, -5V@0.3A, -12V@0.8A, +5VSB@2A",> 70%
