PID,Height,Fanless,Fan RPM Min,Fan RPM Max,Noise Level Min,Noise Level Max,Bearing,Water Cooler Radiator
28850,169,N,500,1700,12,31,,
28851,159,N,300,1300,14,20,,
28852,,N,500,1400,19.8,27.2,,280
28853,69,N,100,2700,,,,
28854,,N,800,1800,27.8,,,120
28855,,N,800,2000,18,34,,120
28856,72,N,800,2500,29.6,,,
28857,150,N,200,1800,24.4,,,
28858,160,N,800,1600,18,26.1,,
28859,32,N,2700,,22.4,,,
28860,65.15,N,900,2500,,,,
28861,155,N,800,1900,20.3,34.5,,
28862,,N,650,2000,6,30,,240
28863,60,N,900,2400,17.8,26.4,,
28864,135,N,2200,,31.6,,,
28865,154.5,N,300,1200,4,24.9,,
28866,,N,450,2000,29.7,,,240
28867,,N,500,1800,30,,,240
28868,,N,650,2200,6,30,,280
28869,171,N,900,1200,13.4,19,,
28870,169,N,700,1300,23,,,
28871,113,Y,,,0,,,
28872,,N,2200,,16.6,36.4,,120
28873,130,N,750,1200,10.1,19.6,,
28874,162,N,900,1800,11,21,,
28875,,N,600,1800,37.1,,,240
28876,,N,1500,,35,,,140
28877,27,N,1500,2500,13,25,,
28878,,N,2200,,,,,120
28879,160,N,750,2000,40.4,,,
28880,165,N,600,1800,31,,,
28881,,N,1900,,31,,,120
28882,147,N,800,2800,18,33,1,
28883,,N,550,1700,29,,,240
28884,,N,500,2300,14,28,,360
28885,158,N,500,1400,8,22,,
28886,,N,1500,,35,,,280
28887,131,N,800,1500,24.4,,2,
28888,149,N,300,1400,13,28,,
28889,,N,800,2300,,,,240
28890,,N,600,1800,10.5,31.8,,240
28891,149,N,300,1400,13,28,,
28892,154,N,900,2000,16.2,31.5,,
28893,23,N,1500,3600,21.9,34.7,,
28894,55,N,1000,3000,33,,,
28895,,N,700,1800,18,35.2,,240
28896,159,N,300,1500,13,22,,
28897,,N,500,1800,21,38,,140
28898,45,N,600,2500,14,33,,
28899,158,N,1500,,25.6,,,
28900,157,N,200,2100,,,,
28901,,N,1000,2000,20,,,360
28902,21,N,1500,2500,13,25,,
28903,,N,800,2000,,,,240
28904,,N,500,2500,23,,,360
28905,,N,500,1800,35,,,240
28906,165,N,800,1500,27,,,
28907,153.5,N,600,1800,16.1,27.7,,
28908,,N,1500,,26.8,,,240
28909,165,N,200,1800,23.5,,,
28910,27,Y,,,0,,,
28911,,N,600,1500,,,,280
28912,159,N,800,1500,16,24,,
28913,159,N,600,2000,13,32,0,
28914,,N,500,1800,17.6,31.3,,240
